id_1,index_1,id_2,index_2
H1106_A,0,H1106_B,0
tr|A0A2L0LZE2|A0A2L0LZE2_9PSED_27-121,139,tr|A0A2L0LZB1|A0A2L0LZB1_9PSED_3-104,139
tr|A0A2K1CKA0|A0A2K1CKA0_9VIBR_2-123,140,tr|A0A2K1CKA2|A0A2K1CKA2_9VIBR_2-105,140
tr|U3AXB0|U3AXB0_9VIBR_2-124,141,tr|U3AD72|U3AD72_9VIBR_3-107,141
tr|A0A511QDT5|A0A511QDT5_9VIBR_2-123,142,tr|A0A511QDS7|A0A511QDS7_9VIBR_2-105,142
tr|A0A2L2K1N6|A0A2L2K1N6_9VIBR_3-124,143,tr|A0A2L2K1L1|A0A2L2K1L1_9VIBR_4-106,143
tr|A0A559NGT0|A0A559NGT0_9VIBR_3-124,144,tr|A0A559NGT6|A0A559NGT6_9VIBR_4-106,144
tr|A0A7Y3Q5S5|A0A7Y3Q5S5_9VIBR_3-124,145,tr|A0A7Y3Q5Y2|A0A7Y3Q5Y2_9VIBR_4-106,145
tr|A0A2I3C4M4|A0A2I3C4M4_VIBAX_3-124,146,tr|A0A2I3C4M2|A0A2I3C4M2_VIBAX_4-106,146
tr|A0A7Y4CD70|A0A7Y4CD70_9VIBR_4-124,147,tr|A0A7Y4FMB3|A0A7Y4FMB3_9VIBR_2-105,147
tr|A0A829TAH0|A0A829TAH0_9VIBR_3-124,148,tr|A0A829T3K7|A0A829T3K7_9VIBR_4-106,148
tr|F9T798|F9T798_9VIBR_4-124,149,tr|F9T797|F9T797_9VIBR_2-105,149
tr|A0A4P8G0P5|A0A4P8G0P5_9VIBR_3-124,150,tr|A0A4P8FY70|A0A4P8FY70_9VIBR_4-106,150
tr|A0A7Y4B588|A0A7Y4B588_VIBAL_3-124,151,tr|A0A6F8WE50|A0A6F8WE50_VIBAL_4-106,151
tr|D0VFM4|D0VFM4_VIBAL_3-124,152,tr|D0VFM5|D0VFM5_VIBAL_4-106,152
tr|A0A7Y3QM21|A0A7Y3QM21_9VIBR_3-124,153,tr|A0A7Y3QN76|A0A7Y3QN76_9VIBR_4-106,153
tr|D0X1K1|D0X1K1_VIBAL_3-124,154,tr|D0X1K2|D0X1K2_VIBAL_4-106,154
tr|A0A4Q9JYV9|A0A4Q9JYV9_VIBPH_4-125,155,tr|A0A242V9X4|A0A242V9X4_VIBPH_3-111,155
tr|X2EZK2|X2EZK2_VIBPH_4-125,156,tr|A0A7T4Q4M8|A0A7T4Q4M8_VIBPH_3-111,156
tr|A0A7T4Q594|A0A7T4Q594_VIBPH_3-124,157,tr|A0A659AG23|A0A659AG23_VIBPH_3-111,157
tr|Q87P54|Q87P54_VIBPA_4-125,158,tr|Q87P55|Q87P55_VIBPA_3-111,158
tr|A0A7Y0XBC2|A0A7Y0XBC2_VIBPH_3-124,159,tr|A0A7T5CLH7|A0A7T5CLH7_VIBPH_3-111,159
tr|A0A1S6HYI8|A0A1S6HYI8_9GAMM_4-124,160,tr|A0A1S6HYP9|A0A1S6HYP9_9GAMM_4-111,160
tr|S5IW04|S5IW04_VIBPH_3-124,161,tr|S5IL94|S5IL94_VIBPH_3-111,161
tr|A0A5N8UVP6|A0A5N8UVP6_9GAMM_4-124,162,tr|A0A5N8UVG2|A0A5N8UVG2_9GAMM_4-111,162
tr|A0A7T1BKU8|A0A7T1BKU8_VIBPH_3-124,163,tr|X2F0V4|X2F0V4_VIBPH_3-111,163
tr|A0A7Y0SD09|A0A7Y0SD09_VIBPH_3-124,164,tr|A0A7H5D1I2|A0A7H5D1I2_VIBPH_3-111,164
tr|A0A7Y0RTW6|A0A7Y0RTW6_VIBAL_3-124,165,tr|A0A7Y0R0K2|A0A7Y0R0K2_VIBAL_3-111,165
